f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,label
12.0,1.5,40.0,75000.0,3201.26582278481,20.0,600.0,350.0,240.0,113.09733554808211,663.1455960998428,377.40539238479346,1040.5509884846363,1040.5509884846363,0.3363602590098653,0.5766175868740548,0.0,Failure
12.0,1.5,40.0,4000.0,596.2025316455696,20.0,600.0,350.0,240.0,113.09733554808211,35.36776512532495,70.28783701591051,105.65560214123546,105.65560214123546,3.312649711927473,5.678828077589953,3.21325713715635,Safe
12.0,1.5,40.0,2000.0,410.126582278481,20.0,600.0,350.0,240.0,113.09733554808211,17.683882562662475,48.35086877527603,66.0347513379385,66.0347513379385,5.300239539080638,9.086124924138238,4.817420097510706,Safe
12.0,1.5,40.0,12000.0,2953.164556962025,20.0,600.0,350.0,240.0,113.09733554808211,106.10329537597484,348.1561013972808,454.2593967732556,454.2593967732556,0.7704848870169496,1.3208312348861992,0.5674428253767941,Failure
12.0,1.5,40.0,30000.0,410.126582278481,20.0,600.0,350.0,240.0,113.09733554808211,265.2582384399371,48.35086877527603,313.6091072152131,313.6091072152131,1.1160390178295994,1.913209744850742,2.7692719492503373,Risk
12.0,1.5,40.0,30000.0,1464.5569620253164,20.0,600.0,350.0,240.0,113.09733554808211,265.2582384399371,172.66035547220483,437.9185939121419,437.9185939121419,0.799235302781914,1.3701176619118527,0.775491885540596,Failure
12.0,1.5,40.0,36000.0,1340.506329113924,20.0,600.0,350.0,240.0,113.09733554808211,318.3098861279245,158.0357099784485,476.345596106373,476.345596106373,0.7347606503768465,1.2595896863603082,0.712978386742357,Failure
12.0,1.5,40.0,2000.0,1154.4303797468353,20.0,600.0,350.0,240.0,113.09733554808211,17.683882562662475,136.09874173781398,153.78262430047647,153.78262430047647,2.275939831237746,3.9016111392647073,1.7114518767700464,Risk
12.0,1.5,40.0,1000.0,348.1012658227848,20.0,600.0,350.0,240.0,113.09733554808211,8.841941281331238,41.03854602839787,49.880487309729105,49.880487309729105,7.016771865512957,12.028751769450782,5.761978587596102,Safe
12.0,1.5,40.0,30000.0,472.15189873417717,20.0,600.0,350.0,240.0,113.09733554808211,265.2582384399371,55.663191522154186,320.9214299620913,320.9214299620913,1.090609623795622,1.8696164979353518,2.405480191848652,Risk
12.0,1.5,40.0,32000.0,286.0759493670886,20.0,600.0,350.0,240.0,113.09733554808211,282.9421210025996,33.72622328151969,316.6683442841193,316.6683442841193,1.1052573025261716,1.89472680433058,3.760372174986242,Risk
12.0,1.5,40.0,4000.0,410.126582278481,20.0,600.0,350.0,240.0,113.09733554808211,35.36776512532495,48.35086877527603,83.71863390060098,83.71863390060098,4.180670224640477,7.166863242240817,4.671123801206394,Safe
12.0,1.5,40.0,22000.0,224.0506329113924,20.0,600.0,350.0,240.0,113.09733554808211,194.52270818928721,26.413900534641535,220.93660872392874,220.93660872392874,1.5841648064570333,2.7157110967834854,6.140362212140277,Risk
12.0,1.5,40.0,4000.0,3139.240506329114,20.0,600.0,350.0,240.0,113.09733554808211,35.36776512532495,370.0930696379152,405.4608347632402,405.4608347632402,0.8632153095711734,1.4797976735505831,0.6102597224266466,Failure
12.0,1.5,40.0,48000.0,4627.848101265822,20.0,600.0,350.0,240.0,113.09733554808211,424.41318150389935,545.5888155629912,970.0019970668905,970.0019970668905,0.36082399939172854,0.6185554275286775,0.12873197799305428,Failure
12.0,1.5,40.0,4000.0,1402.5316455696202,20.0,600.0,350.0,240.0,113.09733554808211,35.36776512532495,165.34803272532665,200.7157978506516,200.7157978506516,1.7437591048945928,2.989301322676445,1.3659242884594043,Risk
12.0,1.5,40.0,10000.0,224.0506329113924,20.0,600.0,350.0,240.0,113.09733554808211,88.41941281331238,26.413900534641535,114.83331334795392,114.83331334795392,3.047896031149295,5.224964624827362,7.747141873217665,Safe
12.0,1.5,40.0,13000.0,348.1012658227848,20.0,600.0,350.0,240.0,113.09733554808211,114.94523665730608,41.03854602839787,155.98378268570394,155.98378268570394,2.2438230050041863,3.8465537228643196,4.72779676936143,Safe
12.0,1.5,40.0,6000.0,1712.6582278481012,20.0,600.0,350.0,240.0,113.09733554808211,53.05164768798742,201.90964645971746,254.96129414770488,254.96129414770488,1.3727573872286054,2.3532983781061807,1.0835507107253028,Risk
12.0,1.5,40.0,8000.0,3139.240506329114,20.0,600.0,350.0,240.0,113.09733554808211,70.7355302506499,370.0930696379152,440.8285998885651,440.8285998885651,0.7939593757929517,1.3610732156450602,0.5720339159722521,Failure
12.0,1.5,40.0,7000.0,782.2784810126582,20.0,600.0,350.0,240.0,113.09733554808211,61.89358896931866,92.224805256545,154.11839422586365,154.11839422586365,2.270981356610794,3.893110897047076,2.333890148221954,Safe
12.0,1.5,40.0,7000.0,1650.632911392405,20.0,600.0,350.0,240.0,113.09733554808211,61.89358896931866,194.5973237128393,256.49091268215795,256.49091268215795,1.3645707613522877,2.3392641623182078,1.1060921101299042,Risk
12.0,1.5,40.0,27000.0,1898.7341772151897,20.0,600.0,350.0,240.0,113.09733554808211,238.7324145959434,223.84661470035195,462.57902929629535,462.57902929629535,0.7566274686764025,1.2970756605881186,0.6455627410511376,Failure
12.0,1.5,40.0,66000.0,968.3544303797468,20.0,600.0,350.0,240.0,113.09733554808211,583.5681245678617,114.1617734971795,697.7298980650412,697.7298980650412,0.5016267770237818,0.8599316177550544,0.05757400197501432,Failure
12.0,1.5,40.0,12000.0,410.126582278481,20.0,600.0,350.0,240.0,113.09733554808211,106.10329537597484,48.35086877527603,154.45416415125086,154.45416415125086,2.26604444056939,3.8846476124046685,4.085938615989146,Safe
12.0,1.5,40.0,78000.0,4317.721518987341,20.0,600.0,350.0,240.0,113.09733554808211,689.6714199438364,509.02720182860037,1198.6986217724368,1198.6986217724368,0.2919833172763526,0.5005428296166045,0.0,Failure
12.0,1.5,40.0,1000.0,968.3544303797468,20.0,600.0,350.0,240.0,113.09733554808211,8.841941281331238,114.1617734971795,123.00371477851073,123.00371477851073,2.8454425187677423,4.8779014607447015,2.071299492305437,Safe
12.0,1.5,40.0,10000.0,720.253164556962,20.0,600.0,350.0,240.0,113.09733554808211,88.41941281331238,84.91248250966684,173.33189532297922,173.33189532297922,2.0192475213278307,3.461567179419138,2.4099193525400557,Safe
12.0,1.5,40.0,13000.0,1588.6075949367087,20.0,600.0,350.0,240.0,113.09733554808211,114.94523665730608,187.28500096596113,302.2302376232672,302.2302376232672,1.1580575218126261,1.985241465964502,1.0359714036646475,Risk
12.0,1.5,40.0,2000.0,224.0506329113924,20.0,600.0,350.0,240.0,113.09733554808211,17.683882562662475,26.413900534641535,44.09778309730401,44.09778309730401,7.936906923864409,13.606126155196131,8.818328313935924,Safe
12.0,1.5,40.0,8000.0,472.15189873417717,20.0,600.0,350.0,240.0,113.09733554808211,70.7355302506499,55.663191522154186,126.3987217728041,126.3987217728041,2.769015343575546,4.746883446129507,3.803335419811078,Safe
12.0,1.5,40.0,1000.0,1402.5316455696202,20.0,600.0,350.0,240.0,113.09733554808211,8.841941281331238,165.34803272532665,174.18997400665788,174.18997400665788,2.009300489272781,3.444515124467625,1.4300939635541121,Risk
12.0,1.5,40.0,12000.0,1526.5822784810125,20.0,600.0,350.0,240.0,113.09733554808211,106.10329537597484,179.97267821908295,286.0759735950578,286.0759735950578,1.2234512238144248,2.097344955110443,1.0977148520733895,Risk
12.0,1.5,40.0,15000.0,286.0759493670886,20.0,600.0,350.0,240.0,113.09733554808211,132.62911921996854,33.72622328151969,166.35534250148822,166.35534250148822,2.1039300255401474,3.606737186640253,5.5431155378997925,Safe
12.0,1.5,40.0,79000.0,4193.670886075949,20.0,600.0,350.0,240.0,113.09733554808211,698.5133612251677,494.40255633484406,1192.9159175600118,1192.9159175600118,0.2933987172504128,0.5029692295721362,0.0,Failure
12.0,1.5,40.0,2000.0,844.3037974683543,20.0,600.0,350.0,240.0,113.09733554808211,17.683882562662475,99.53712800342315,117.22101056608562,117.22101056608562,2.9858128530609696,5.11853631953309,2.340096119355427,Safe
12.0,1.5,40.0,48000.0,3201.26582278481,20.0,600.0,350.0,240.0,113.09733554808211,424.41318150389935,377.40539238479346,801.8185738886928,801.8185738886928,0.43650772306523045,0.7482989538261093,0.18609889740696794,Failure
12.0,1.5,40.0,57000.0,1588.6075949367087,20.0,600.0,350.0,240.0,113.09733554808211,503.9906530358805,187.28500096596113,691.2756540018416,691.2756540018416,0.5063103234915333,0.8679605545569142,0.20505506894501707,Failure
12.0,1.5,40.0,54000.0,4131.645569620253,20.0,600.0,350.0,240.0,113.09733554808211,477.4648291918868,487.0902335879659,964.5550627798527,964.5550627798527,0.3628616068749205,0.622048468928435,0.10062625966055828,Failure
12.0,1.5,40.0,73000.0,3077.2151898734173,20.0,600.0,350.0,240.0,113.09733554808211,645.4617135371803,362.78074689103704,1008.2424604282173,1008.2424604282173,0.34713872281375857,0.5950949533950146,0.0,Failure
12.0,1.5,40.0,10000.0,782.2784810126582,20.0,600.0,350.0,240.0,113.09733554808211,88.41941281331238,92.224805256545,180.64421806985737,180.64421806985737,1.937510116502667,3.321445914004572,2.2188416045251977,Risk
12.0,1.5,40.0,8000.0,782.2784810126582,20.0,600.0,350.0,240.0,113.09733554808211,70.7355302506499,92.224805256545,162.96033550719488,162.96033550719488,2.147761901130839,3.681877544795724,2.2955406336563686,Safe
12.0,1.5,40.0,6000.0,968.3544303797468,20.0,600.0,350.0,240.0,113.09733554808211,53.05164768798742,114.1617734971795,167.2134211851669,167.2134211851669,2.0931334190592743,3.5882287183873274,1.9163975315107893,Risk
12.0,1.5,40.0,53000.0,286.0759493670886,20.0,600.0,350.0,240.0,113.09733554808211,468.62288791055556,33.72622328151969,502.34911119207527,502.34911119207527,0.6967266233810043,1.1943884972245788,1.5581597855047973,Failure
12.0,1.5,40.0,42000.0,4441.772151898734,20.0,600.0,350.0,240.0,113.09733554808211,371.36153381591197,523.6518473223567,895.0133811382686,895.0133811382686,0.39105560584410776,0.670381038589899,0.17464921959334026,Failure
12.0,1.5,40.0,1000.0,782.2784810126582,20.0,600.0,350.0,240.0,113.09733554808211,8.841941281331238,92.224805256545,101.06674653787624,101.06674653787624,3.463057949187761,5.936670770036161,2.563987235615466,Safe
12.0,1.5,40.0,46000.0,3573.417721518987,20.0,600.0,350.0,240.0,113.09733554808211,406.7292989412369,421.2793288660624,828.0086278072993,828.0086278072993,0.42270090944152827,0.7246301304711913,0.18350836399072507,Failure
12.0,1.5,40.0,7000.0,720.253164556962,20.0,600.0,350.0,240.0,113.09733554808211,61.89358896931866,84.91248250966684,146.8060714789855,146.8060714789855,2.3840975817387533,4.087024425837863,2.534875415816908,Safe
12.0,1.5,40.0,5000.0,1960.759493670886,20.0,600.0,350.0,240.0,113.09733554808211,44.20970640665619,231.15893744723016,275.36864385388634,275.36864385388634,1.2710234364390554,2.1788973196098094,0.9617457144053837,Failure
12.0,1.5,40.0,57000.0,3139.240506329114,20.0,600.0,350.0,240.0,113.09733554808211,503.9906530358805,370.0930696379152,874.0837226737957,874.0837226737957,0.4004193087236085,0.6864331006690432,0.1037677869059174,Failure
12.0,1.5,40.0,5000.0,782.2784810126582,20.0,600.0,350.0,240.0,113.09733554808211,44.20970640665619,92.224805256545,136.4345116632012,136.4345116632012,2.5653333290145524,4.397714278310661,2.4105891773531245,Safe
12.0,1.5,40.0,29000.0,100.0,20.0,600.0,350.0,240.0,113.09733554808211,256.41629715860586,11.789255040885205,268.2055521994911,268.2055521994911,1.3049692563350266,2.2370901537171886,11.657520398725792,Risk
12.0,1.5,40.0,11000.0,224.0506329113924,20.0,600.0,350.0,240.0,113.09733554808211,97.26135409464361,26.413900534641535,123.67525462928515,123.67525462928515,2.829992151997504,4.851415117710007,7.613243568127883,Safe
12.0,1.5,40.0,3000.0,968.3544303797468,20.0,600.0,350.0,240.0,113.09733554808211,26.52582384399371,114.1617734971795,140.68759734117322,140.68759734117322,2.48778148615864,4.26476826198624,2.009338707987578,Safe
12.0,1.5,40.0,2000.0,720.253164556962,20.0,600.0,350.0,240.0,113.09733554808211,17.683882562662475,84.91248250966684,102.59636507232932,102.59636507232932,3.41142690337852,5.848160405791749,2.7431355212783277,Safe
12.0,1.5,40.0,6000.0,410.126582278481,20.0,600.0,350.0,240.0,113.09733554808211,53.05164768798742,48.35086877527603,101.40251646326345,101.40251646326345,3.4515908697724274,5.917012919609876,4.524827504902082,Safe
12.0,1.5,40.0,3000.0,844.3037974683543,20.0,600.0,350.0,240.0,113.09733554808211,26.52582384399371,99.53712800342315,126.06295184741685,126.06295184741685,2.7763906434687806,4.759526817375052,2.3045638854700434,Safe
12.0,1.5,40.0,37000.0,1960.759493670886,20.0,600.0,350.0,240.0,113.09733554808211,327.15182740925576,231.15893744723016,558.3107648564859,558.3107648564859,0.626891011297876,1.0746703050820732,0.47213951682374505,Failure
12.0,1.5,40.0,1000.0,658.2278481012657,20.0,600.0,350.0,240.0,113.09733554808211,8.841941281331238,77.60015976278868,86.44210104411991,86.44210104411991,4.0489529496432715,6.941062199388465,3.0472002146290764,Safe
12.0,1.5,40.0,9000.0,1092.4050632911392,20.0,600.0,350.0,240.0,113.09733554808211,79.57747153198113,128.78641899093586,208.363890522917,208.363890522917,1.6797536229523673,2.8795776393469157,1.6163894688324423,Risk
12.0,1.5,40.0,32000.0,4813.9240506329115,20.0,600.0,350.0,240.0,113.09733554808211,282.9421210025996,567.5257838036258,850.4679048062254,850.4679048062254,0.4115381638997113,0.7054939952566479,0.22346676612426797,Failure
12.0,1.5,40.0,62000.0,348.1012658227848,20.0,600.0,350.0,240.0,113.09733554808211,548.2003594425366,41.03854602839787,589.2389054709345,589.2389054709345,0.593986576157386,1.0182627019840904,0.5048876782365224,Failure
12.0,1.5,40.0,18000.0,100.0,20.0,600.0,350.0,240.0,113.09733554808211,159.15494306396226,11.789255040885205,170.94419810484746,170.94419810484746,2.047451764249305,3.509917310141665,14.957520398694937,Safe
12.0,1.5,40.0,7000.0,162.0253164556962,20.0,600.0,350.0,240.0,113.09733554808211,61.89358896931866,19.101577787763368,80.99516675708202,80.99516675708202,4.321245501541925,7.4078494312147285,11.268313371416388,Safe
12.0,1.5,40.0,65000.0,3139.240506329114,20.0,600.0,350.0,240.0,113.09733554808211,574.7261832865304,370.0930696379152,944.8192529244457,944.8192529244457,0.37044122345760244,0.6350420973558899,0.027316173997128084,Failure
12.0,1.5,40.0,5000.0,658.2278481012657,20.0,600.0,350.0,240.0,113.09733554808211,44.20970640665619,77.60015976278868,121.80986616944486,121.80986616944486,2.8733304698837414,4.925709376943557,2.864892522309974,Safe
12.0,1.5,40.0,32000.0,224.0506329113924,20.0,600.0,350.0,240.0,113.09733554808211,282.9421210025996,26.413900534641535,309.35602153724113,309.35602153724113,1.1313825354349363,1.9395129178884623,4.801379161242455,Risk
12.0,1.5,40.0,8000.0,3635.443037974683,20.0,600.0,350.0,240.0,113.09733554808211,70.7355302506499,428.5916516129405,499.3271818635904,499.3271818635904,0.7009432146133684,1.201616939337203,0.49395686337455025,Failure
12.0,1.5,40.0,2000.0,100.0,20.0,600.0,350.0,240.0,113.09733554808211,17.683882562662475,11.789255040885205,29.47313760354768,29.47313760354768,11.87522023260921,20.35752039875865,19.75752039865006,Safe
12.0,1.5,40.0,1000.0,1960.759493670886,20.0,600.0,350.0,240.0,113.09733554808211,8.841941281331238,231.15893744723016,240.0008787285614,240.0008787285614,1.4583279938503402,2.499990846600583,1.0229464891030886,Risk
12.0,1.5,40.0,4000.0,472.15189873417717,20.0,600.0,350.0,240.0,113.09733554808211,35.36776512532495,55.663191522154186,91.03095664747914,91.03095664747914,3.8448458951337128,6.591164391657793,4.057490915804246,Safe
12.0,1.5,40.0,24000.0,3201.26582278481,20.0,600.0,350.0,240.0,113.09733554808211,212.20659075194968,377.40539238479346,589.6119831367431,589.6119831367431,0.5936107304627732,1.0176183950790398,0.41100992945181664,Failure
12.0,1.5,40.0,1000.0,2518.987341772152,20.0,600.0,350.0,240.0,113.09733554808211,8.841941281331238,296.96984216913364,305.8117834504649,305.8117834504649,1.1444948132796466,1.9619911084793942,0.7962533224232178,Failure
12.0,1.5,40.0,7000.0,286.0759493670886,20.0,600.0,350.0,240.0,113.09733554808211,61.89358896931866,33.72622328151969,95.61981225083835,95.61981225083835,3.66032929533671,6.274850220577218,6.3820535910355805,Safe
12.0,1.5,40.0,6000.0,596.2025316455696,20.0,600.0,350.0,240.0,113.09733554808211,53.05164768798742,70.28783701591051,123.33948470389794,123.33948470389794,2.8376963049376283,4.864622237035934,3.1126201944750274,Safe
12.0,1.5,40.0,12000.0,1092.4050632911392,20.0,600.0,350.0,240.0,113.09733554808211,106.10329537597484,128.78641899093586,234.8897143669107,234.8897143669107,1.49006098858714,2.554390266149383,1.5340024468106417,Risk
12.0,1.5,40.0,32000.0,348.1012658227848,20.0,600.0,350.0,240.0,113.09733554808211,282.9421210025996,41.03854602839787,323.9806670309975,323.9806670309975,1.0803113753865836,1.851962357805572,3.0903422238232006,Risk
12.0,1.5,40.0,38000.0,100.0,20.0,600.0,350.0,240.0,113.09733554808211,335.993768690587,11.789255040885205,347.7830237314722,347.7830237314722,1.0063745959872763,1.7252135931210448,8.957520398751035,Risk
12.0,1.5,40.0,54000.0,2829.1139240506327,20.0,600.0,350.0,240.0,113.09733554808211,477.4648291918868,333.53145590352443,810.9962850954112,810.9962850954112,0.4315679448006251,0.7398307625153573,0.14695485974575023,Failure
12.0,1.5,40.0,52000.0,3883.5443037974683,20.0,600.0,350.0,240.0,113.09733554808211,459.78094662922433,457.8409426004532,917.6218892296775,917.6218892296775,0.3814207181712236,0.6538640882935262,0.12250459958784,Failure
12.0,1.5,40.0,14000.0,1526.5822784810125,20.0,600.0,350.0,240.0,113.09733554808211,123.78717793863731,179.97267821908295,303.75985615772026,303.75985615772026,1.152225986758166,1.9752445487282846,1.0584113694835768,Risk
12.0,1.5,40.0,16000.0,1402.5316455696202,20.0,600.0,350.0,240.0,113.09733554808211,141.4710605012998,165.34803272532665,306.8190932266265,306.8190932266265,1.1407373521579962,1.955549746556565,1.1092455880805734,Risk
12.0,1.5,40.0,6000.0,1154.4303797468353,20.0,600.0,350.0,240.0,113.09733554808211,53.05164768798742,136.09874173781398,189.1503894258014,189.1503894258014,1.8503794840742065,3.172079115555783,1.6075045083419122,Risk
12.0,1.5,40.0,20000.0,720.253164556962,20.0,600.0,350.0,240.0,113.09733554808211,176.83882562662475,84.91248250966684,261.7513081362916,261.7513081362916,1.3371470900784228,2.292252154420153,1.9933991416172152,Risk
12.0,1.5,40.0,5000.0,100.0,20.0,600.0,350.0,240.0,113.09733554808211,44.20970640665619,11.789255040885205,55.99896144754139,55.99896144754139,6.250115911910657,10.71448442041827,18.857520398658473,Safe
12.0,1.5,40.0,76000.0,2394.936708860759,20.0,600.0,350.0,240.0,113.09733554808211,671.987537381174,282.3451966753773,954.3327340565513,954.3327340565513,0.36674839655965646,0.6287115369594111,0.0,Failure
12.0,1.5,40.0,20000.0,1092.4050632911392,20.0,600.0,350.0,240.0,113.09733554808211,176.83882562662475,128.78641899093586,305.6252446175606,305.6252446175606,1.1451933574296909,1.9631886127366132,1.3143037214191726,Risk
12.0,1.5,40.0,10000.0,1526.5822784810125,20.0,600.0,350.0,240.0,113.09733554808211,88.41941281331238,179.97267821908295,268.39209103239534,268.39209103239534,1.304062271926077,2.2355353233018462,1.1370183346632021,Risk
12.0,1.5,40.0,68000.0,1030.379746835443,20.0,600.0,350.0,240.0,113.09733554808211,601.2520071305241,121.47409624405768,722.7261033745818,722.7261033745818,0.4842775131066688,0.8301900224685751,0.0,Failure
12.0,1.5,40.0,35000.0,286.0759493670886,20.0,600.0,350.0,240.0,113.09733554808211,309.4679448465933,33.72622328151969,343.194168128113,343.194168128113,1.019830849422612,1.748281456153049,3.4457704050603213,Risk
12.0,1.5,40.0,41000.0,3139.240506329114,20.0,600.0,350.0,240.0,113.09733554808211,362.51959253458074,370.0930696379152,732.6126621724959,732.6126621724959,0.47774222050930604,0.8189866637302389,0.256671012723496,Failure
12.0,1.5,40.0,1000.0,472.15189873417717,20.0,600.0,350.0,240.0,113.09733554808211,8.841941281331238,55.663191522154186,64.50513280348542,64.50513280348542,5.425924802927658,9.301585376447413,4.248107537799123,Safe
12.0,1.5,40.0,36000.0,4565.822784810126,20.0,600.0,350.0,240.0,113.09733554808211,318.3098861279245,538.276492816113,856.5863789440375,856.5863789440375,0.40859860558494543,0.700454752431335,0.2093274498374081,Failure
12.0,1.5,40.0,19000.0,348.1012658227848,20.0,600.0,350.0,240.0,113.09733554808211,167.9968843452935,41.03854602839787,209.03543037369136,209.03543037369136,1.674357305709529,2.870326809787764,4.2107058602440945,Risk
12.0,1.5,40.0,24000.0,1154.4303797468353,20.0,600.0,350.0,240.0,113.09733554808211,212.20659075194968,136.09874173781398,348.30533248976366,348.30533248976366,1.0048654653005673,1.7226265119438295,1.1397413504153084,Risk
12.0,1.5,40.0,6000.0,720.253164556962,20.0,600.0,350.0,240.0,113.09733554808211,53.05164768798742,84.91248250966684,137.96413019765427,137.96413019765427,2.5368912883083143,4.348956494242825,2.576527436909192,Safe
